number,value,datetime_start,datetime_complete,duration,params_l0_dropout_rate,params_l0_is_bn,params_l0_out_features,params_l1_dropout_rate,params_l1_is_bn,params_l1_out_features,params_l2_dropout_rate,params_l2_is_bn,params_l2_out_features,params_num_hidden_layers,state
81,0.8092672413793104,2024-06-17 03:27:27.773093,2024-06-17 03:47:41.919946,0 days 00:20:14.146853,0.017308081589044077,False,960.0,,,,,,,1,PRUNED
82,0.5595366379310345,2024-06-17 03:47:42.033447,2024-06-17 03:57:47.464005,0 days 00:10:05.430558,0.03704488709323361,False,992.0,,,,,,,1,PRUNED
83,0.5323275862068966,2024-06-17 03:57:47.577549,2024-06-17 04:07:55.596210,0 days 00:10:08.018661,0.08739732442491917,False,992.0,,,,,,,1,PRUNED
84,0.5425646551724138,2024-06-17 04:07:55.709353,2024-06-17 04:18:03.790027,0 days 00:10:08.080674,0.11322606541756516,False,1024.0,,,,,,,1,PRUNED
85,0.7726293103448276,2024-06-17 04:18:03.904579,2024-06-17 04:38:21.042911,0 days 00:20:17.138332,0.07094837824582576,True,928.0,,,,,,,1,PRUNED
86,0.5385237068965517,2024-06-17 04:38:21.170771,2024-06-17 04:48:29.969858,0 days 00:10:08.799087,0.00022676633033689476,False,576.0,,,,,,,1,PRUNED
87,0.572198275862069,2024-06-17 04:48:30.084580,2024-06-17 04:58:37.302429,0 days 00:10:07.217849,0.01781519711182422,False,992.0,,,,,,,1,PRUNED
88,0.49973060344827586,2024-06-17 04:58:37.417212,2024-06-17 05:08:46.457285,0 days 00:10:09.040073,0.4016229517615405,True,1024.0,,,,,,,1,PRUNED
89,0.44207974137931033,2024-06-17 05:08:46.568931,2024-06-17 05:18:57.778530,0 days 00:10:11.209599,0.05584326166609809,False,960.0,0.2697347065770026,True,896.0,0.012223628214153237,True,1024.0,3,PRUNED
90,0.9350754310344828,2024-06-17 05:18:57.892088,2024-06-17 06:09:30.194688,0 days 00:50:32.302600,,,,,,,,,,0,PRUNED
91,0.5417564655172413,2024-06-17 06:09:30.308078,2024-06-17 06:19:40.031494,0 days 00:10:09.723416,0.03601174247970947,False,1024.0,,,,,,,1,PRUNED
92,0.5730064655172413,2024-06-17 06:19:40.160085,2024-06-17 06:29:47.152606,0 days 00:10:06.992521,5.8020097849668245e-05,False,896.0,,,,,,,1,PRUNED
93,0.560614224137931,2024-06-17 06:29:47.264774,2024-06-17 06:39:54.488864,0 days 00:10:07.224090,0.01927064515630505,False,960.0,,,,,,,1,PRUNED
94,0.5571120689655172,2024-06-17 06:39:54.600588,2024-06-17 06:50:04.669829,0 days 00:10:10.069241,0.04181581730253163,False,1024.0,,,,,,,1,PRUNED
95,0.5686961206896551,2024-06-17 06:50:04.790542,2024-06-17 07:00:10.727527,0 days 00:10:05.936985,0.01456929183840675,False,928.0,,,,,,,1,PRUNED
96,0.5396012931034483,2024-06-17 07:00:10.838994,2024-06-17 07:10:19.615502,0 days 00:10:08.776508,0.20467475072694924,False,992.0,,,,,,,1,PRUNED
97,0.7931034482758621,2024-06-17 07:10:19.728549,2024-06-17 07:30:33.205916,0 days 00:20:13.477367,0.05642945840528806,True,1024.0,,,,,,,1,PRUNED
98,0.42429956896551724,2024-06-17 07:30:33.318397,2024-06-17 07:40:38.162774,0 days 00:10:04.844377,0.3046091420081518,False,992.0,0.12547144928885662,False,384.0,,,,2,PRUNED
99,0.47575431034482757,2024-06-17 07:40:38.275150,2024-06-17 07:50:43.447910,0 days 00:10:05.172760,0.45093904627516346,False,896.0,,,,,,,1,PRUNED
